confirmed artifacts

TICID     ! 2MASS            ! comments
----------+------------------+------------
269701145 ! 20080397+6651023 ! near TOI 1339
 27462105 ! 14274226+4157123 ! near 158025009 ! 14274177+4157124 !
178819687 ! 12575199-3945275 !
178819685 ! 12575242-3945196 !
 94986318 ! 05272486-1416301 !
233087859 ! 18084971+6040417 ! near TOI-1184   NEW
233087857 ! 18084897+6040463 ! near TOI-1184   NEW
 64071892 ! 02363253-2214346 ! 


Artifact candidates till sector 23 (included) as by May 8th 2020

TOI     !  TICIDTOI ! TICIDArti ! qual ! rdist ! tessmag ! tessmag ! d(tessmag)
1749.01 ! 233602827 ! 233602831 !  UCU ! 18.57 !   12.26 !   16.45 ! -4.19
1749.02 ! 233602827 ! 233602830 !  UCU ! 16.36 !   12.26 !   16.36 ! -4.11
1749.02 ! 233602827 ! 233602831 !  UCU ! 18.57 !   12.26 !   16.45 ! -4.19
1306.01 ! 233735068 ! 233735067 !  DUU !  1.93 !   10.02 !   13.53 ! -3.51
1441.01 ! 233951353 ! 233951357 !  CUU !  4.40 !    9.48 !   15.81 ! -6.32
 579.01 ! 238061845 ! 238061846 !  DUU !  4.71 !    9.67 !   15.17 ! -5.51
1377.01 ! 240613164 ! 240613150 !  BUU ! 18.42 !   10.14 !   16.89 ! -6.74
1477.01 ! 240681314 ! 240681317 !  CUU ! 20.13 !   10.65 !   17.98 ! -7.33
1564.01 ! 250724252 ! 250769321 !  DUU ! 10.37 !   10.28 !   18.75 ! -8.46
1771.01 ! 252479260 ! 252480658 !  EUU !  6.33 !    9.01 !   15.22 ! -6.21
1482.01 ! 252616865 ! 252616866 !  CUU ! 12.00 !   10.07 !   17.50 ! -7.43
 160.01 ! 253917293 ! 253914729 !  DUU !  5.95 !   11.29 !   16.95 ! -5.66
1566.01 ! 256414077 ! 256414068 !  BUU ! 13.34 !   10.43 !   17.06 ! -6.63
1342.01 ! 256621916 ! 256621917 !  CUU !  9.39 !   10.42 !   16.85 ! -6.43
1183.01 ! 258777137 ! 258777134 !  UCU !  4.49 !    9.95 !   10.45 ! -0.50
 590.01 ! 270841724 ! 270841692 !  UUE ! 18.14 !   10.44 !   19.81 ! -9.37
1380.01 ! 274170255 ! 274170262 !  AUU ! 13.66 !    9.33 !   15.35 ! -6.02
1256.01 ! 274762761 ! 274762733 !  BUU ! 16.30 !   13.56 !   16.61 ! -3.05
1358.01 ! 275501623 ! 275501616 !  CUU ! 11.06 !    8.64 !   17.40 ! -8.76
1356.01 ! 277566483 ! 277566482 !  AUU !  5.52 !    8.95 !   15.47 ! -6.53
 685.01 ! 281731203 ! 281731202 !  DUU !  1.80 !    9.96 !   14.06 ! -4.10
 204.01 ! 281781375 ! 281779274 !  DUU ! 10.85 !    9.22 !   15.42 ! -6.20
1794.01 ! 286916251 ! 286916252 !  AUU !  6.63 !    9.70 !   15.11 ! -5.41
 906.01 ! 298372701 ! 298381302 !  CUU ! 14.16 !    8.51 !   16.85 ! -8.34
1116.01 ! 304100538 ! 304100537 !  AUU !  5.32 !    9.53 !   15.64 ! -6.11
1660.01 ! 311121985 ! 311121984 !  UAU !  5.23 !    9.00 !   14.34 ! -5.34
1383.01 ! 313506357 ! 313506360 !  UDU !  3.97 !    9.56 !    9.77 ! -0.21
 208.01 ! 314865962 ! 314865963 !  DUU !  8.47 !   10.35 !   16.85 ! -6.49
 574.01 ! 315002523 ! 315002519 !  UUC !  5.13 !   12.43 !   15.88 ! -3.46
 253.01 ! 322063810 ! 322063811 !  AUU !  4.36 !    9.36 !   15.16 ! -5.79
1057.01 ! 323132914 ! 323132917 !  AUU !  5.29 !    9.41 !   15.72 ! -6.31
1057.01 ! 323132914 ! 323132913 !  AUU !  7.58 !    9.41 !   14.84 ! -5.43
 414.01 ! 325680697 ! 325680695 !  UUE !  7.23 !    9.16 !   14.73 ! -5.57
1504.01 ! 326114850 ! 326114851 !  BUU ! 11.15 !    9.99 !   17.30 ! -7.31
1576.01 ! 327011842 ! 327011843 !  UDU !  3.07 !    9.78 !   10.06 ! -0.28
 392.01 ! 328350926 ! 328350925 !  UUE ! 10.09 !    8.30 !   14.03 ! -5.73
 392.01 ! 328350926 ! 328350924 !  UUE ! 10.82 !    8.30 !   13.88 ! -5.58
1385.01 ! 329864959 ! 430463547 !  CUU ! 10.59 !    8.44 !   16.59 ! -8.15
1385.01 ! 329864959 ! 430463552 !  BUU ! 12.04 !    8.44 !   16.93 ! -8.49
1819.01 ! 341815767 ! 341815766 !  AUU !  4.74 !    8.98 !   15.22 ! -6.24
 787.01 ! 350584963 ! 350584962 !  AUU !  5.23 !    9.48 !   15.81 ! -6.33
1665.01 ! 354006740 ! 354006746 !  UUD ! 11.70 !    6.31 !   13.24 ! -6.93
1112.01 ! 369864738 ! 369867270 !  DUU !  3.83 !    9.52 !   14.38 ! -4.87
